CHAMPDECOURSESD'ENGHIEN;GRIGNY-CENTRE;;;
LABARRE-ORMESSON;GRETZ-ARMAINVILLIERS;;;
PARISNORD;GRAVIGNY-BALIZY;;;
SANTEUIL-LE-PERCHAY;GRAND-BOURG;;;
MONTGEROULT-COURCELLES;GOUSSAINVILLE;;;
OSNY;GIF-SUR-YVETTE;;;
ROSNY-SUR-SEINE;GENTILLY;;;
JUZIERS;GENNEVILLIERS;;;
LESCLAIRIERES-DE-VERNEUIL;GARGES-SARCELLES;;;
AUBERGENVILLE-ELISABETHVILLE;GARGENVILLE;;;
MEULAN-HARDRICOURT;GAREST-LAZARE;;;
LESMUREAUX;GARED'AUSTERLITZ;;;
VERNOUILLET-VERNEUIL;GARE-DU-NORD;;;
TRIEL-SUR-SEINE;GARE-DE-LYON;;;
ST-OUEN-L'AUMONE(QUARTIERDEL'EGLISE);GARCHES-MARNES-LA-COQUETTE;;;
HERBLAY;GARANCIERES-LAQUEUE;;;
MAURECOURT;GAGNY;;;
LAFRETTE-MONTIGNY;FREPILLON;;;
LIMAY;FRANCONVILLE-PLESSIS-BOUCHARD;;;
VILLENNES-SUR-SEINE;FONTENAY-SOUS-BOIS;;;
ARGENTEUIL;FONTENAY-LE-FLEURY;;;
LESTADE;FONTENAY-AUX-ROSES;;;
US;FONTAINEBLEAU-AVON;;;
BOISSY-L'AILLERIE;FONTAINE-MICHALON;;;
ERAGNY-NEUVILLE;FONTAINE-LE-PORT;;;
CORMEILLES-EN-PARISIS;FAREMOUTIERS-POMMEUSE;;;
PORTVILLEZ;EVRY-COURCOURONNES;;;
BONNIERES;EVRY;;;
VAUX-SUR-SEINE;ETRECHY;;;
CONFLANS-STE-HONORINE;ETAMPES;;;
SANNOIS;ESSONNES-ROBINSON;;;
COLOMBES;ESBLY;;;
BOIS-COLOMBES;ERMONT-HALTE;;;
CHARS;ERMONT-EAUBONNE;;;
GARGENVILLE;ERAGNY-NEUVILLE;;;
ISSOU-PORCHEVILLE;EPONE-MEZIERES;;;
THUN-LE-PARADIS;EPLUCHES;;;
