longitude;latitude;desserte;station_id;nomgar;nb_trains;tps_mini;tps_moy;tps_maxi;gares_iden;nomgar_triee;longitude;latitude
 2.47531163783;48.9323508175;B;57;BLANC-MESNIL;4;14;14;14;498;SARCELLES-ST-BRICE; 2.36847504308;48.9954632687
 2.45458153611;48.9327807592;B;58;DRANCY;4;12;12;12;483;VILLIERS-LE-BEL-GONESSE-ARNOUVILLE; 2.41644604674;48.9939712257
 2.42569297611;48.9308091187;B;59;LE BOURGET;8;9;10;12;484;FRANCONVILLE-PLESSIS-BOUCHARD; 2.23550543753;48.9932891415
 2.38521422143;48.9241508431;B;60;LA COURNEUVE-AUBERVILLIERS;4;9;9;9;100;LES MUREAUX; 1.91305751146;48.9924783194
 2.36316398284;48.9183324976;B;61;LA-PLAINE-STADE-DE-FRANCE;8;6;6;6;102;JUZIERS; 1.84533831346;48.9922440548
 2.35677073894;48.8807567474;B-D;62;GARE DU NORD;0;0;0;0;112;CONFLANS-FIN-D'OISE; 2.07364115042;48.9918996035
 2.34622592543;48.8532741831;B-C;63;ST-MICHEL NOTRE DAME;0;0;0;0;90;CONFLANS-FIN-D'OISE; 2.07364115042;48.9918996035
 2.34061126036;48.8467520504;B;64;LUXEMBOURG;0;0;0;0;93;COMPANS; 2.66547833097;48.9917155597
 2.33723779394;48.8399245162;B;65;PORT ROYAL;0;0;0;0;78;ERMONT-HALTE; 2.26335062635;48.9902123554
 2.33307958303;48.8335204838;B;66;DENFERT-ROCHEREAU;0;0;0;0;66;MANTES-LA-JOLIE; 1.70298304486;48.9894869216
 2.33906151331;48.8202326587;B;67;CITE UNIVERSITAIRE;20;3;3;3;86;MAURECOURT; 2.05949410823;48.9866108738
 2.34075936305;48.8156202135;B;68;GENTILLY;15;4;4;4;87;CERNAY; 2.25731901391;48.9850639646
 2.33314808593;48.8074998031;B;69;LAPLACE;15;5;6;6;355;GROSLAY; 2.35380109156;48.9845468408
 2.32820314558;48.7990520714;B;70;ARCUEIL-CACHAN;10;7;7;7;358;LIMAY; 1.74691386098;48.9843452116
 2.32108309454;48.7932699775;B;71;BAGNEUX (PONT ROYAL);10;9;9;9;359;VERNOUILLET-VERNEUIL; 1.98271510677;48.9818480471
 2.31234439532;48.780166313;B;72;BOURG-LA-REINE;20;10;11;11;362;TRIEL-SUR-SEINE; 2.00576815381;48.9813917011
 2.31012073491;48.7701291035;B;73;PARC-DE-SCEAUX;5;12;12;12;364;ERMONT-EAUBONNE; 2.27284311657;48.9805835777
 2.3043443201;48.7618630583;B;74;LA CROIX-DE-BERNY;5;14;14;14;365;LA FRETTE-MONTIGNY; 2.18035130569;48.979972999
 2.30084729316;48.754589519;B;75;ANTONY;15;14;15;16;366;CHAMP DE COURSES D'ENGHIEN; 2.29152283226;48.979702759
 2.29643671914;48.7434464238;B;76;FONTAINE-MICHALON;5;18;18;18;341;ISSOU-PORCHEVILLE; 1.78538355166;48.979298696
 2.2874356805;48.7396267027;B;77;LES BACONNETS;10;16;18;20;344;GARGES-SARCELLES; 2.39057877463;48.9767251559
 2.27429959578;48.7351698671;B-C;78;MASSY-VERRIERES;7;22;25;34;345;MITRY-CLAYE; 2.64239702293;48.9758592169
 2.25817874623;48.7247632643;B-C;79;MASSY-PALAISEAU;21;20;29;46;349;MITRY-CLAYE; 2.64239702293;48.9758592169
 2.24646877978;48.7178955464;B;80;PALAISEAU;5;22;22;22;350;DEUIL-MONTMAGNY; 2.33761668045;48.9755057739
 2.23712019919;48.7077153773;B;81;PALAISEAU-VILLEBON;5;24;24;24;351;NANTEUIL-SAACY; 3.2199404617;48.9740060687
 2.21178458532;48.7060342153;B;82;LOZERE;5;27;27;27;352;PARC DES EXPOSITIONS; 2.5138839549;48.9729082995
 2.19162813835;48.7049146966;B;83;LE GUICHET;5;29;29;29;334;PARC DES EXPOSITIONS; 2.5138839549;48.9729082995
 2.18167696193;48.6976489844;B;84;ORSAY-VILLE;10;27;29;32;337;AUBERGENVILLE-ELISABETHVILLE; 1.84743213405;48.9719081274
 2.16332540471;48.6958405124;B;85;BURES-SUR-YVETTE;5;29;29;29;338;ACHERES-VILLE; 2.0776998599;48.9705540056
 2.15312732769;48.6948615339;B;86;LA HACQUINIERE;5;30;30;30;310;ACHERES-VILLE; 2.0776998599;48.9705540056
 2.1370438549;48.698269649;B;87;GIF-SUR-YVETTE;5;32;32;32;336;CHANTELOUP-LES-VIGNES; 2.02678845577;48.9704685163
 2.09855828176;48.7010193042;B;88;COURCELLE-SUR-YVETTE;5;35;35;35;335;SANNOIS; 2.26406391129;48.9699406247
 2.07111957027;48.7027480926;B;89;ST-REMY-LES-CHEVREUSE;5;38;38;38;257;CORMEILLES-EN-PARISIS; 2.19264876212;48.9688884608
 2.29769015642;48.7813687247;B;90;SCEAUX;5;14;14;14;361;LA BARRE-ORMESSON; 2.31679457197;48.9662042608
 2.29280129372;48.7875486414;B;91;FONTENAY-AUX-ROSES;5;15;15;15;360;PIERREFITTES-STAINS; 2.37218407351;48.9639190127
 2.28065019936;48.7796884865;B;92;ROBINSON;5;18;18;18;363;ST-GRATIEN; 2.28684304155;48.9633533019
 2.09504516735;49.0469743135;C-H-J;93;PONTOISE;15;28;34;42;415;EPONE-MEZIERES; 1.80808401987;48.9633305191
 2.3023256041;48.95358916;C;;EPINAY-SUR-SEINE;4;12;12;12;404;VILLEPINTE; 2.51244864841;48.9630960799
 2.31415796249;48.9202084399;C;;LES GRESILLONS;4;6;6;6;52;VILLEPINTE; 2.51244864841;48.9630960799
 2.27676318175;48.8462698707;C;;JAVEL;0;0;0;0;47;TRILPORT; 2.95028140682;48.9602623826
 2.12928343967;48.8001797253;C;;VERSAILLES R.G;4;22;22;22;326;CHANGIS-ST-JEAN; 3.02587905997;48.9591918648
 2.14684695593;48.7706030428;C;;PETIT-JOUY-LES-LOGES;4;62;62;62;331;EPINAY-VILLETANEUSE; 2.32895521801;48.957822475
 2.16359945645;48.7647912427;C;;JOUY-EN-JOSAS;4;59;59;59;332;MEAUX; 2.87324629746;48.9564397413
 2.31273510062;48.7479158391;C;;CHEMIN-D'ANTONY;2;30;30;30;340;ACHERES-GRAND-CORMIER; 2.09336708539;48.9554110836
